case,time,x,y
0.136,0.009,0.0102295270189643,0.138924404978752
0.136,0.009,0.0100265573710203,0.139532446861267
0.136,0.009,0.009784996509552,0.140126213431358
0.136,0.009,0.0095058651641011,0.140703275799751
0.136,0.009,0.0091903014108538,0.141261249780655
0.136,0.009,0.0088396277278661,0.141797855496407
0.136,0.009,0.0084552895277738,0.14231088757515
0.136,0.009,0.0080388719215989,0.142798244953156
0.136,0.009,0.0075920936651527,0.143257945775986
0.136,0.009,0.0071167978458106,0.143688067793846
0.136,0.009,0.0066149304620921,0.144086897373199
0.136,0.009,0.0060885637067258,0.144452765583992
0.136,0.009,0.0055398498661816,0.144784197211266
0.136,0.009,0.0049710483290255,0.145079806447029
0.136,0.009,0.0043844836764037,0.14533843100071
0.136,0.009,0.003782571060583,0.145558923482895
0.136,0.009,0.0031677715014666,0.145740449428558
0.136,0.009,0.002542610745877,0.145882233977318
0.136,0.009,0.0019096531905233,0.145983681082726
0.136,0.009,0.0012714976910501,0.146044388413429
0.136,0.009,0.0006307432777248,0.146064087748528
0.136,0.01,0.0008150624926202,0.1261146068573
0.136,0.01,0.0014558269176632,0.126133933663368
0.136,0.01,0.002094023162499,0.126194313168526
0.136,0.01,0.0027270202990621,0.126295417547226
0.136,0.01,0.0033522518351674,0.126436918973923
0.136,0.01,0.0039670979604125,0.126618176698685
0.136,0.01,0.0045690974220633,0.126838505268097
0.136,0.01,0.0051556904800236,0.127096965909004
0.136,0.01,0.0057245232164859,0.127392515540123
0.136,0.01,0.0062732091173529,0.127723947167397
0.136,0.01,0.00679950742051,0.128089904785156
0.136,0.01,0.0073012267239391,0.128488883376122
0.136,0.01,0.0077763041481375,0.1289192289114
0.136,0.01,0.0082227624952793,0.129379212856293
0.136,0.01,0.0086387591436505,0.129866898059845
0.136,0.01,0.0090225655585527,0.130380317568779
0.136,0.01,0.0093725901097059,0.130917325615883
0.136,0.01,0.0096873836591839,0.1314757168293
0.136,0.01,0.0099656311795115,0.132053196430206
0.136,0.01,0.0102061927318573,0.132647350430489
0.136,0.01,0.0104080568999052,0.133255749940872
0.136,0.01,0.0105703976005316,0.133875861763954
0.136,0.01,0.010692541487515,0.134505122900009
0.136,0.01,0.0107739856466651,0.135140940546989
0.136,0.01,0.0108143985271454,0.135780677199364
0.136,0.01,0.010813619941473,0.136421695351601
0.136,0.01,0.0107716592028737,0.137061342597008
0.136,0.01,0.0106886997818947,0.137696966528893
0.136,0.01,0.0105650937184691,0.138325944542885
0.136,0.01,0.0104013606905937,0.138945698738098
0.136,0.01,0.0101981917396188,0.139553681015968
0.136,0.01,0.0099564250558614,0.140147358179092
0.136,0.01,0.0096770860254764,0.140724316239357
0.136,0.01,0.0093613173812627,0.141282171010971
0.136,0.01,0.0090104425325989,0.141818642616272
0.136,0.01,0.0086259040981531,0.142331540584564
0.136,0.01,0.0082093002274632,0.142818734049797
0.136,0.01,0.0077623412944376,0.143278241157532
0.136,0.01,0.0072868727147579,0.143708184361458
0.136,0.01,0.006784850731492,0.144106820225716
0.136,0.01,0.0062583382241427,0.144472479820251
0.136,0.01,0.0057094898074865,0.144803687930107
0.136,0.01,0.0051405718550086,0.145099073648453
0.136,0.01,0.0045539066195488,0.145357444882393
0.136,0.01,0.003951902501285,0.145577698945999
0.136,0.01,0.0033370396122336,0.145759001374245
0.136,0.01,0.0027118141297251,0.145900547504425
0.136,0.01,0.0020788211841136,0.146001756191254
0.136,0.01,0.0014406419359147,0.146062210202217
0.136,0.01,0.0007998739602044,0.146081671118736
